,ID,Country of Origin,Farm Name,Lot Number,Mill,ICO Number,Company,Altitude,Region,Producer,Number of Bags,Bag Weight,In-Country Partner,Harvest Year,Grading Date,Owner,Variety,Status,Processing Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean Cup,Sweetness,Overall,Defects,Total Cup Points,Moisture Percentage,Category One Defects,Quakers,Color,Category Two Defects,Expiration,Certification Body,Certification Address,Certification Contact
0,0,Thailand,Coffee De Hmong Bio Farm,2024,Coffee De Hmong Roaster,,Coffee De Hmong Bio Farm,1443,เอเชีย,Wichai kamnerdmongkon,1,10 kg,Specialty Coffee Institute of Thailand,2019 / 2020,"October 29th, 2024",Wichai Kamnerdmongkhon,Gesha,Completed,Washed / Wet,8.67,8.5,8.33,8.0,8.08,8.33,10.0,10.0,10.0,8.42,0.0,88.33,11.2,0,0,,0,"October 29th, 2025",Specialty Coffee Institute of Thailand,"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492"
1,1,Thailand,PHU CHEE DEUN COFFEE FARMER,1,Mogojubean,,PHU CHEE DEUN COFFEE FARMER,1450,North,PHU CHEE DEUN COFFEE FARMER,1,8 kg,Specialty Coffee Institute of Thailand,2024 / 2025,"July 8th, 2025",Phongsathorn Khunta,Gesha,Completed,Natural / Dry,8.25,8.5,8.33,8.25,8.17,8.17,10.0,10.0,10.0,8.33,0.0,88.0,11.1,0,0,green fresh,0,"July 8th, 2026",Specialty Coffee Institute of Thailand,"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492"
2,2,Thailand,Natee coffee estate,#G2025001,Natee coffee estate,,Natee coffee estate,1350-1400,Chaing Rai,Natee Santiphoomsawan,1,7 kg,SOCOF Lab,2024 / 2025,"October 2nd, 2025",Natee Santiphoomsawan,Gesha,Completed,Natural / Dry,8.42,8.42,8.17,8.17,8.08,8.17,10.0,10.0,10.0,8.25,0.0,87.67,9.7,0,0,green,0,"October 2nd, 2026",SOCOF Lab,"(Ministry of Roasters)199 Chang Moi , Mueng Chiang Mai, 53000 Thailand",Anuwat Kobnampetch - whatsapp +66 925524446
3,3,Thailand,Ma Gor Loe Coffee Farm,2,Hulling Facility,,Ma Gor Loe Coffee Farm,1200,Chiangmai,Chaloempong Funna,1,8 kg,Specialty Coffee Institute of Thailand,2025,"August 26th, 2025",Chaloempong Funna,Gesha,Completed,Natural / Dry,8.25,8.33,8.25,8.17,8.17,8.25,10.0,10.0,10.0,8.25,0.0,87.67,12.9,0,0,yellowish,0,"August 26th, 2026",Specialty Coffee Institute of Thailand,"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492"
4,4,Thailand,Slowna,2025012,"Gemforestcoffee LTD.,Part",,SlownaCoffee,1400,Nan,Pornpipat,1,7 kg,SOCOF Lab,2024 / 2025,"October 2nd, 2025",Pornpipat,Catimor,Completed,Natural / Dry,8.33,8.33,8.08,8.25,8.08,8.08,10.0,10.0,10.0,8.33,0.0,87.5,10.9,0,0,brownish,0,"October 2nd, 2026",SOCOF Lab,"(Ministry of Roasters)199 Chang Moi , Mueng Chiang Mai, 53000 Thailand",Anuwat Kobnampetch - whatsapp +66 925524446
5,5,Thailand,V Saking,#1225,"Gemforestcoffee LTD.,Part",,Nan Saking Coffee,1200,Nan,Mrs.Pimpha,1,7 kg,SOCOF Lab,2020 / 2021,"October 2nd, 2025",Pimpha,Gesha,Completed,Washed / Wet,8.33,8.25,8.08,8.08,8.25,8.25,10.0,10.0,10.0,8.25,0.0,87.5,9.5,0,0,green,3,"October 2nd, 2026",SOCOF Lab,"(Ministry of Roasters)199 Chang Moi , Mueng Chiang Mai, 53000 Thailand",Anuwat Kobnampetch - whatsapp +66 925524446
6,6,Thailand,Ma Gor Loe Coffee Farm,1,Hulling Facility,,Ma Gor Loe Coffee Farm,1200,Chiangmai,Chaloempong Funna,1,8 kg,Specialty Coffee Institute of Thailand,2025,"July 8th, 2025",Parichat Saensong,Gesha,Completed,Natural / Dry,8.17,8.25,8.0,8.33,8.08,8.17,10.0,10.0,10.0,8.5,0.0,87.5,12.2,0,0,green,0,"July 8th, 2026",Specialty Coffee Institute of Thailand,"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492"
7,7,Thailand,Ban phuvaeview,2025004,Manipruek,,Baan phuvaeview,1480,Nan,Kanjana inja,1,8 kg,SOCOF Lab,2024 / 2025,"October 2nd, 2025",Kanjana inja,Gesha,Completed,Natural / Dry,8.33,8.33,8.17,8.08,7.92,8.17,10.0,10.0,10.0,8.42,0.0,87.42,10,0,0,yellow-green,0,"October 2nd, 2026",SOCOF Lab,"(Ministry of Roasters)199 Chang Moi , Mueng Chiang Mai, 53000 Thailand",Anuwat Kobnampetch - whatsapp +66 925524446
8,8,Ethiopia,Smallholders,36285,SCFCU mill Addis Ababa,010/0145/0154,Allegro Coffee,1850-2062,Sidama,Shantagolba Cooperative,320,60 kg,METAD Agricultural Development plc,2024 / 2025,"March 27th, 2025",Allegro Coffee,Ethiopian Heirlooms,Completed,Natural / Dry,8.0,8.08,8.08,8.33,8.08,8.75,10.0,10.0,10.0,8.08,0.0,87.42,8.3,0,3,yellow green,5,"March 27th, 2026",METAD Agricultural Development plc,"BAWA Center, 3rd Floor (Gerji), Addis Ababa, Ethiopia","Aman Adinew (Emebet Dinku) - +251-116-292534, +251-911-519196"
9,9,Ethiopia,Abera Farm,2,Abera Milling staion,010/0398,Abebe mulgeta Genet Trading,1800-2200,SNNP Gedeo Zone,Abera Hailemariyam,1600,96000 kg,METAD Agricultural Development plc,2024 / 2025,"April 8th, 2025",Abebe Mulgeta,Ethiopian Yirgacheffe,Completed,Natural / Dry,8.0,8.25,8.17,8.33,8.33,8.0,10.0,10.0,10.0,8.08,0.0,87.17,8.9,0,3,yellow green,1,"April 8th, 2026",METAD Agricultural Development plc,"BAWA Center, 3rd Floor (Gerji), Addis Ababa, Ethiopia","Aman Adinew (Emebet Dinku) - +251-116-292534, +251-911-519196"
